00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0010
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 0.9990
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0010
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0010
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0010
18; MSE: 0.0000; cos: 1.0010
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 0.9995
21; MSE: 0.0000; cos: 1.0000
22; MSE: 0.0000; cos: 1.0000
23; MSE: 0.0000; cos: 1.0010
24; MSE: 0.0000; cos: 1.0000
25; MSE: 0.0000; cos: 1.0000
26; MSE: 0.0000; cos: 1.0010
27; MSE: 0.0000; cos: 0.9995
28; MSE: 0.0000; cos: 1.0000
29; MSE: 0.0000; cos: 1.0000
30; MSE: 0.9341; cos: 0.9956
31; MSE: 1.8320; cos: 0.9917
32; MSE: 0.2021; cos: 0.9458
