00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.2171; cos: 0.9999
21; MSE: 0.2090; cos: 0.9999
22; MSE: 0.2022; cos: 0.9999
23; MSE: 0.2015; cos: 0.9999
24; MSE: 0.2038; cos: 0.9999
25; MSE: 0.2029; cos: 0.9999
26; MSE: 0.2096; cos: 0.9999
27; MSE: 0.2305; cos: 0.9999
28; MSE: 0.2752; cos: 0.9998
29; MSE: 0.3548; cos: 0.9998
30; MSE: 0.4437; cos: 0.9997
31; MSE: 1.2623; cos: 0.9702
32; MSE: 1.1608; cos: 0.9840
33; MSE: 1.7106; cos: 0.9845
34; MSE: 2.0925; cos: 0.9871
35; MSE: 2.7319; cos: 0.9872
36; MSE: 0.6587; cos: 0.9715
