00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0000; cos: 1.0000
22; MSE: 0.0000; cos: 1.0000
23; MSE: 0.2865; cos: 0.9998
24; MSE: 0.3126; cos: 0.9998
25; MSE: 0.3286; cos: 0.9998
26; MSE: 0.3532; cos: 0.9997
27; MSE: 0.4010; cos: 0.9997
28; MSE: 0.4774; cos: 0.9997
29; MSE: 0.5971; cos: 0.9996
30; MSE: 0.7503; cos: 0.9994
31; MSE: 1.0730; cos: 0.9812
32; MSE: 1.2800; cos: 0.9823
33; MSE: 1.7160; cos: 0.9830
34; MSE: 2.0635; cos: 0.9854
35; MSE: 2.5223; cos: 0.9858
36; MSE: 0.3292; cos: 0.9862
