00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0057; cos: 0.7358
02; MSE: 0.0116; cos: 0.7896
03; MSE: inf; cos: 1.0000
04; MSE: inf; cos: 0.9990
05; MSE: inf; cos: 0.9995
06; MSE: inf; cos: 0.9995
07; MSE: inf; cos: 0.9995
08; MSE: inf; cos: 1.0000
09; MSE: inf; cos: 0.9995
10; MSE: inf; cos: 1.0000
11; MSE: inf; cos: 0.9995
12; MSE: inf; cos: 0.9995
13; MSE: inf; cos: 0.9990
14; MSE: inf; cos: 1.0000
15; MSE: inf; cos: 0.9985
16; MSE: inf; cos: 0.9990
17; MSE: inf; cos: 0.9995
18; MSE: inf; cos: 0.9995
19; MSE: inf; cos: 0.9995
20; MSE: inf; cos: 0.9985
21; MSE: inf; cos: 0.9990
22; MSE: inf; cos: 0.9976
23; MSE: inf; cos: 0.9976
24; MSE: inf; cos: 0.9976
25; MSE: inf; cos: 0.9966
26; MSE: inf; cos: 0.9956
27; MSE: inf; cos: 0.9946
28; MSE: inf; cos: 0.9946
29; MSE: inf; cos: 0.9932
30; MSE: 8.1953; cos: 0.9595
31; MSE: 9.9453; cos: 0.9546
32; MSE: 0.3406; cos: 0.9058
