00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0010
02; MSE: 0.0000; cos: 0.9995
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 0.9995
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 0.9995
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 0.9995
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0010
12; MSE: 0.0000; cos: 1.0010
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 0.9995
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 0.9995
20; MSE: 0.1986; cos: 0.9995
21; MSE: 0.1860; cos: 0.9995
22; MSE: 0.1749; cos: 1.0000
23; MSE: 0.1848; cos: 1.0000
24; MSE: 0.1938; cos: 1.0000
25; MSE: 0.2084; cos: 1.0000
26; MSE: 0.2208; cos: 0.9995
27; MSE: 0.2385; cos: 1.0000
28; MSE: 0.2842; cos: 0.9995
29; MSE: 0.3516; cos: 0.9995
30; MSE: 0.4480; cos: 1.0000
31; MSE: 0.9810; cos: 0.9829
32; MSE: 0.8525; cos: 0.9883
33; MSE: 1.2012; cos: 0.9888
34; MSE: 1.4863; cos: 0.9897
35; MSE: 1.8613; cos: 0.9893
36; MSE: 0.2255; cos: 0.9912
