00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 3.5852; cos: 1.0000
20; MSE: 4.4486; cos: 1.0000
21; MSE: 4.5734; cos: 1.0000
22; MSE: 5.1150; cos: 0.9999
23; MSE: 5.6954; cos: 0.9999
24; MSE: 7.1741; cos: 0.9999
25; MSE: 8.7367; cos: 0.9999
26; MSE: 11.5337; cos: 0.9999
27; MSE: 15.1609; cos: 0.9998
28; MSE: 18.6886; cos: 0.9998
29; MSE: 21.7234; cos: 0.9998
30; MSE: 25.7642; cos: 0.9997
31; MSE: 31.0498; cos: 0.9995
32; MSE: 0.0697; cos: 0.9898
