00; MSE: 0.0000; cos: 1.0010
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 0.9995
03; MSE: 0.0000; cos: 0.9995
04; MSE: 0.0000; cos: 1.0010
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 0.9995
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 0.9995
12; MSE: 0.0000; cos: 0.9990
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 0.9990
15; MSE: 0.0000; cos: 1.0010
16; MSE: 0.0000; cos: 1.0010
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 2.6992; cos: 1.0000
20; MSE: 2.9980; cos: 1.0010
21; MSE: 2.6387; cos: 1.0000
22; MSE: 2.8594; cos: 1.0000
23; MSE: 2.8945; cos: 1.0000
24; MSE: 3.2910; cos: 0.9995
25; MSE: 3.7480; cos: 1.0000
26; MSE: 4.4727; cos: 1.0000
27; MSE: 5.4570; cos: 1.0000
28; MSE: 6.5078; cos: 0.9995
29; MSE: 7.5273; cos: 1.0000
30; MSE: 9.0781; cos: 0.9995
31; MSE: 11.5625; cos: 1.0000
32; MSE: 0.0261; cos: 0.9966
