00; MSE: 0.0000; cos: 0.9995
01; MSE: 0.0000; cos: 1.0010
02; MSE: 0.0000; cos: 0.9995
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 0.9995
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0010
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 0.9995
17; MSE: 0.1517; cos: 1.0000
18; MSE: 0.1754; cos: 1.0000
19; MSE: 0.1909; cos: 1.0000
20; MSE: 0.2300; cos: 1.0000
21; MSE: 0.2871; cos: 1.0000
22; MSE: 0.3855; cos: 1.0000
23; MSE: 0.5581; cos: 0.9995
24; MSE: 0.7979; cos: 1.0000
25; MSE: 1.1211; cos: 0.9995
26; MSE: 1.7559; cos: 1.0000
27; MSE: 2.9492; cos: 0.9971
28; MSE: 1.6338; cos: 0.9717
