00; MSE: 0.0000; cos: 1.0010
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0010
03; MSE: 0.0000; cos: 0.9990
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0010
07; MSE: 0.0000; cos: 0.9995
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 0.9995
14; MSE: 0.0000; cos: 0.9995
15; MSE: 0.0000; cos: 1.0010
16; MSE: 0.0000; cos: 0.9995
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.3721; cos: 1.0000
19; MSE: 0.3938; cos: 0.9995
20; MSE: 0.4194; cos: 0.9995
21; MSE: 0.4875; cos: 1.0000
22; MSE: 0.5684; cos: 0.9995
23; MSE: 0.6802; cos: 1.0000
24; MSE: 0.8442; cos: 1.0000
25; MSE: 1.0107; cos: 1.0010
26; MSE: 1.1924; cos: 0.9990
27; MSE: 1.3760; cos: 0.9990
28; MSE: 1.5664; cos: 0.9990
29; MSE: 1.9111; cos: 0.9985
30; MSE: 2.3262; cos: 0.9922
31; MSE: 2.6738; cos: 0.9912
32; MSE: 0.0446; cos: 0.9893
