00; MSE: 0.0000; cos: 1.0010
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 0.9990
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0010
06; MSE: 0.0000; cos: 1.0010
07; MSE: 0.0000; cos: 0.9995
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 1.0010
12; MSE: 0.0000; cos: 1.0010
13; MSE: 0.0000; cos: 0.9990
14; MSE: 2.6035; cos: 0.9995
15; MSE: 3.0996; cos: 1.0000
16; MSE: 3.7305; cos: 1.0000
17; MSE: 4.5156; cos: 1.0000
18; MSE: 6.2695; cos: 1.0000
19; MSE: 8.8203; cos: 1.0000
20; MSE: 13.1094; cos: 1.0000
21; MSE: 17.9531; cos: 1.0000
22; MSE: 24.1250; cos: 0.9990
23; MSE: inf; cos: 0.9985
24; MSE: 0.1365; cos: 0.9648
