00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0000; cos: 1.0000
22; MSE: 0.1713; cos: 0.9999
23; MSE: 0.1662; cos: 0.9999
24; MSE: 0.1765; cos: 0.9999
25; MSE: 0.1941; cos: 0.9999
26; MSE: 0.2094; cos: 0.9999
27; MSE: 0.2379; cos: 0.9998
28; MSE: 0.2883; cos: 0.9998
29; MSE: 0.3656; cos: 0.9997
30; MSE: 0.4556; cos: 0.9996
31; MSE: 0.6870; cos: 0.9885
32; MSE: 0.8433; cos: 0.9886
33; MSE: 1.1182; cos: 0.9890
34; MSE: 1.3290; cos: 0.9905
35; MSE: 1.6058; cos: 0.9907
36; MSE: 0.2098; cos: 0.9913
