00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0010
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0010
06; MSE: 0.0000; cos: 1.0010
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0037; cos: 1.0010
09; MSE: 0.0038; cos: 1.0000
10; MSE: 0.0037; cos: 1.0000
11; MSE: 0.0034; cos: 0.9995
12; MSE: 0.0034; cos: 1.0010
13; MSE: 0.0031; cos: 1.0000
14; MSE: 0.0030; cos: 1.0000
15; MSE: 0.0029; cos: 1.0000
16; MSE: 0.0028; cos: 0.9990
17; MSE: 0.0028; cos: 1.0000
18; MSE: 0.0028; cos: 1.0010
19; MSE: 0.0028; cos: 1.0000
20; MSE: 0.0027; cos: 1.0010
21; MSE: 0.0027; cos: 1.0000
22; MSE: 0.0026; cos: 1.0000
23; MSE: 0.0026; cos: 1.0000
24; MSE: 0.0026; cos: 1.0000
25; MSE: 0.0026; cos: 1.0000
26; MSE: 0.0027; cos: 1.0010
27; MSE: 0.0028; cos: 1.0010
28; MSE: 0.0029; cos: 1.0000
29; MSE: 0.0031; cos: 0.9995
30; MSE: 0.0033; cos: 1.0010
31; MSE: 0.0039; cos: 1.0000
32; MSE: 0.0056; cos: 1.0000
33; MSE: 0.0086; cos: 0.9995
34; MSE: 0.0105; cos: 1.0000
35; MSE: 0.0125; cos: 1.0000
36; MSE: 0.0011; cos: 1.0000
