00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 8.6028; cos: 0.9999
18; MSE: 10.7842; cos: 0.9998
19; MSE: 13.7085; cos: 0.9998
20; MSE: 18.7389; cos: 0.9997
21; MSE: 23.7994; cos: 0.9996
22; MSE: 30.6744; cos: 0.9995
23; MSE: 56.6393; cos: 0.9984
24; MSE: 0.2428; cos: 0.9468
