00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.2323; cos: 0.9999
22; MSE: 0.2047; cos: 0.9999
23; MSE: 0.2070; cos: 0.9999
24; MSE: 0.1952; cos: 0.9999
25; MSE: 0.2010; cos: 0.9999
26; MSE: 0.2050; cos: 0.9999
27; MSE: 0.2334; cos: 0.9999
28; MSE: 0.2580; cos: 0.9999
29; MSE: 0.3116; cos: 0.9999
30; MSE: 0.3659; cos: 0.9999
31; MSE: 0.8926; cos: 0.9805
32; MSE: 1.0405; cos: 0.9894
33; MSE: 1.3413; cos: 0.9914
34; MSE: 1.4980; cos: 0.9932
35; MSE: 1.7232; cos: 0.9936
36; MSE: 0.1600; cos: 0.9936
