00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0010
04; MSE: 0.0000; cos: 0.9995
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 0.9995
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 0.9995
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 1.0010
14; MSE: 0.0000; cos: 1.0010
15; MSE: 0.0000; cos: 0.9995
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 0.9995
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0010
21; MSE: 0.0000; cos: 0.9995
22; MSE: 0.0000; cos: 1.0000
23; MSE: 0.1953; cos: 1.0000
24; MSE: 0.1945; cos: 1.0000
25; MSE: 0.1888; cos: 1.0000
26; MSE: 0.1991; cos: 1.0000
27; MSE: 0.2211; cos: 1.0000
28; MSE: 0.2490; cos: 0.9995
29; MSE: 0.3066; cos: 1.0000
30; MSE: 0.3713; cos: 1.0000
31; MSE: 0.5439; cos: 0.9868
32; MSE: 0.7236; cos: 0.9902
33; MSE: 1.0010; cos: 0.9907
34; MSE: 1.1553; cos: 0.9932
35; MSE: 1.4941; cos: 0.9932
36; MSE: 0.2590; cos: 0.9893
