00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 0.9995
02; MSE: inf; cos: 0.7236
03; MSE: inf; cos: 0.6284
04; MSE: inf; cos: 0.5293
05; MSE: inf; cos: 0.4626
06; MSE: inf; cos: 0.4558
07; MSE: inf; cos: 0.4062
08; MSE: inf; cos: 1.0000
09; MSE: inf; cos: 1.0000
10; MSE: inf; cos: 1.0000
11; MSE: inf; cos: 0.9995
12; MSE: inf; cos: 0.9995
13; MSE: inf; cos: 1.0000
14; MSE: inf; cos: 1.0000
15; MSE: inf; cos: 1.0000
16; MSE: inf; cos: 0.9995
17; MSE: inf; cos: 0.9995
18; MSE: inf; cos: 1.0000
19; MSE: inf; cos: 1.0000
20; MSE: inf; cos: 0.9990
21; MSE: inf; cos: 0.9985
22; MSE: inf; cos: 0.9990
23; MSE: inf; cos: 0.9976
24; MSE: 2.1250; cos: 0.5093
