00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0010
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0010
07; MSE: 0.0014; cos: 1.0000
08; MSE: 0.0015; cos: 0.9995
09; MSE: 0.0017; cos: 1.0000
10; MSE: 0.0017; cos: 0.9995
11; MSE: 0.0015; cos: 1.0000
12; MSE: 0.0015; cos: 1.0000
13; MSE: 0.0013; cos: 0.9995
14; MSE: 0.0013; cos: 1.0000
15; MSE: 0.0012; cos: 0.9995
16; MSE: 0.0012; cos: 1.0000
17; MSE: 0.0012; cos: 0.9995
18; MSE: 0.0013; cos: 1.0010
19; MSE: 0.0014; cos: 1.0000
20; MSE: 0.0015; cos: 1.0000
21; MSE: 0.0014; cos: 1.0000
22; MSE: 0.0014; cos: 0.9995
23; MSE: 0.0016; cos: 0.9995
24; MSE: 0.0016; cos: 1.0000
25; MSE: 0.0017; cos: 1.0000
26; MSE: 0.0018; cos: 1.0000
27; MSE: 0.0019; cos: 1.0000
28; MSE: 0.0020; cos: 0.9995
29; MSE: 0.0022; cos: 1.0000
30; MSE: 0.0026; cos: 1.0000
31; MSE: 0.0050; cos: 0.9995
32; MSE: 0.0056; cos: 1.0000
33; MSE: 0.0077; cos: 1.0000
34; MSE: 0.0086; cos: 1.0000
35; MSE: 0.0108; cos: 1.0000
36; MSE: 0.0022; cos: 1.0000
