00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: inf; cos: 0.9878
05; MSE: inf; cos: 0.9922
06; MSE: inf; cos: 0.9927
07; MSE: inf; cos: 0.9922
08; MSE: inf; cos: 0.9927
09; MSE: inf; cos: 0.9932
10; MSE: inf; cos: 0.9937
11; MSE: inf; cos: 0.9922
12; MSE: inf; cos: 0.9937
13; MSE: inf; cos: 0.9937
14; MSE: inf; cos: 0.9941
15; MSE: inf; cos: 0.9932
16; MSE: inf; cos: 0.9937
17; MSE: inf; cos: 0.9932
18; MSE: inf; cos: 0.9937
19; MSE: inf; cos: 0.9932
20; MSE: inf; cos: 0.9932
21; MSE: inf; cos: 0.9937
22; MSE: inf; cos: 0.9937
23; MSE: inf; cos: 0.9937
24; MSE: inf; cos: 0.9922
25; MSE: inf; cos: 0.9917
26; MSE: inf; cos: 0.9907
27; MSE: inf; cos: 0.9604
28; MSE: 10.8203; cos: 0.8320
