00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.2161; cos: 0.9999
22; MSE: 0.1909; cos: 0.9999
23; MSE: 0.1974; cos: 0.9999
24; MSE: 0.2056; cos: 0.9999
25; MSE: 0.2178; cos: 0.9999
26; MSE: 0.2294; cos: 0.9998
27; MSE: 0.2566; cos: 0.9998
28; MSE: 0.3108; cos: 0.9998
29; MSE: 0.3773; cos: 0.9997
30; MSE: 0.4661; cos: 0.9996
31; MSE: 0.7918; cos: 0.9865
32; MSE: 0.8835; cos: 0.9878
33; MSE: 1.1654; cos: 0.9885
34; MSE: 1.3552; cos: 0.9904
35; MSE: 1.6399; cos: 0.9907
36; MSE: 0.1996; cos: 0.9917
