00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0010
03; MSE: 0.0000; cos: 0.9995
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 0.9990
06; MSE: 0.0000; cos: 0.9995
07; MSE: 0.0000; cos: 1.0010
08; MSE: 0.0000; cos: 1.0010
09; MSE: 0.0000; cos: 1.0010
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 0.9995
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 0.9995
14; MSE: 0.0000; cos: 0.9995
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 0.9990
18; MSE: 0.0000; cos: 0.9990
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0000; cos: 1.0010
22; MSE: 0.8379; cos: 1.0000
23; MSE: 1.0020; cos: 1.0000
24; MSE: 1.1885; cos: 0.9995
25; MSE: 1.4277; cos: 0.9995
26; MSE: 1.7266; cos: 0.9985
27; MSE: 2.1133; cos: 1.0000
28; MSE: 2.5371; cos: 0.9985
29; MSE: 3.1621; cos: 0.9980
30; MSE: 3.8516; cos: 0.9800
31; MSE: 4.5664; cos: 0.9795
32; MSE: 0.0889; cos: 0.9790
