00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0000; cos: 1.0000
22; MSE: 0.0000; cos: 1.0000
23; MSE: 0.1886; cos: 0.9999
24; MSE: 0.1955; cos: 0.9999
25; MSE: 0.1869; cos: 0.9999
26; MSE: 0.1780; cos: 0.9999
27; MSE: 0.1752; cos: 0.9999
28; MSE: 0.1916; cos: 0.9999
29; MSE: 0.2164; cos: 0.9999
30; MSE: 0.2553; cos: 0.9999
31; MSE: 0.5149; cos: 0.9908
32; MSE: 0.4422; cos: 0.9943
33; MSE: 0.5835; cos: 0.9949
34; MSE: 0.6473; cos: 0.9962
35; MSE: 0.7602; cos: 0.9965
36; MSE: 0.0853; cos: 0.9974
