00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0000; cos: 1.0000
22; MSE: 5.4427; cos: 1.0000
23; MSE: 5.6818; cos: 1.0000
24; MSE: 6.8741; cos: 0.9999
25; MSE: 8.0615; cos: 0.9999
26; MSE: 9.5828; cos: 0.9999
27; MSE: 11.6595; cos: 0.9999
28; MSE: 14.2114; cos: 0.9999
29; MSE: 16.5359; cos: 0.9998
30; MSE: 19.2131; cos: 0.9998
31; MSE: 24.6021; cos: 0.9997
32; MSE: 0.0598; cos: 0.9933
