00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0010
03; MSE: 0.0000; cos: 0.9995
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 0.9990
06; MSE: 0.0000; cos: 0.9995
07; MSE: 0.0000; cos: 1.0010
08; MSE: 0.0000; cos: 1.0010
09; MSE: 0.0000; cos: 1.0010
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 0.9995
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 0.9995
14; MSE: 0.0000; cos: 0.9995
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 0.9990
18; MSE: 0.0000; cos: 0.9990
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.5942; cos: 0.9995
22; MSE: 0.6748; cos: 0.9995
23; MSE: 0.8008; cos: 0.9995
24; MSE: 0.9546; cos: 0.9995
25; MSE: 1.1611; cos: 0.9990
26; MSE: 1.4062; cos: 0.9995
27; MSE: 1.7549; cos: 0.9995
28; MSE: 2.0996; cos: 0.9980
29; MSE: 2.6016; cos: 0.9980
30; MSE: 3.2480; cos: 0.9839
31; MSE: 3.8730; cos: 0.9829
32; MSE: 0.0812; cos: 0.9814
