00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0002; cos: 0.9995
04; MSE: 0.1406; cos: 0.9995
05; MSE: 0.1406; cos: 1.0000
06; MSE: 0.1405; cos: 1.0000
07; MSE: 0.1404; cos: 0.9995
08; MSE: 0.1405; cos: 0.9995
09; MSE: 0.1405; cos: 0.9995
10; MSE: 0.1405; cos: 1.0010
11; MSE: 0.1405; cos: 0.9995
12; MSE: 0.1405; cos: 1.0000
13; MSE: 0.1405; cos: 0.9995
14; MSE: 0.1405; cos: 1.0000
15; MSE: 0.1405; cos: 0.9995
16; MSE: 0.1405; cos: 0.9995
17; MSE: 0.1405; cos: 0.9995
18; MSE: 0.1405; cos: 0.9995
19; MSE: 0.1405; cos: 0.9995
20; MSE: 0.1406; cos: 1.0000
21; MSE: 0.1407; cos: 1.0000
22; MSE: 0.1410; cos: 1.0000
23; MSE: 0.1411; cos: 0.9995
24; MSE: 0.1417; cos: 1.0000
25; MSE: 0.1429; cos: 0.9995
26; MSE: 0.1102; cos: 0.9995
27; MSE: 0.0122; cos: 0.9990
28; MSE: 0.0034; cos: 1.0000
