00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0003; cos: 1.0000
02; MSE: 0.0006; cos: 0.9995
03; MSE: 0.0015; cos: 1.0000
04; MSE: 0.0015; cos: 1.0000
05; MSE: 0.0016; cos: 1.0000
06; MSE: 0.0015; cos: 1.0000
07; MSE: 0.0016; cos: 1.0000
08; MSE: 0.0016; cos: 1.0000
09; MSE: 0.0016; cos: 0.9995
10; MSE: 0.0016; cos: 1.0000
11; MSE: 0.0016; cos: 1.0010
12; MSE: 0.0016; cos: 1.0000
13; MSE: 0.0015; cos: 0.9995
14; MSE: 0.0015; cos: 1.0000
15; MSE: 0.0014; cos: 1.0000
16; MSE: 0.0014; cos: 0.9995
17; MSE: 0.0014; cos: 1.0000
18; MSE: 0.0014; cos: 0.9995
19; MSE: 0.0014; cos: 0.9995
20; MSE: 0.0014; cos: 0.9995
21; MSE: 0.0014; cos: 1.0000
22; MSE: 0.0014; cos: 1.0000
23; MSE: 0.0014; cos: 1.0000
24; MSE: 0.0015; cos: 1.0000
25; MSE: 0.0015; cos: 1.0000
26; MSE: 0.0015; cos: 1.0000
27; MSE: 0.0016; cos: 1.0010
28; MSE: 0.0016; cos: 1.0000
29; MSE: 0.0017; cos: 1.0010
30; MSE: 0.0019; cos: 1.0000
31; MSE: 0.0015; cos: 1.0000
32; MSE: 0.0022; cos: 0.9995
33; MSE: 0.0036; cos: 1.0010
34; MSE: 0.0051; cos: 1.0000
35; MSE: 0.0062; cos: 0.9995
36; MSE: 0.0007; cos: 1.0010
