00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 1.0811; cos: 0.9526
03; MSE: 1.3037; cos: 0.9438
04; MSE: inf; cos: 1.0000
05; MSE: inf; cos: 1.0000
06; MSE: inf; cos: 1.0000
07; MSE: inf; cos: 1.0000
08; MSE: inf; cos: 1.0000
09; MSE: inf; cos: 1.0000
10; MSE: inf; cos: 1.0000
11; MSE: inf; cos: 0.9995
12; MSE: inf; cos: 1.0010
13; MSE: inf; cos: 0.9995
14; MSE: inf; cos: 1.0000
15; MSE: inf; cos: 1.0000
16; MSE: inf; cos: 1.0000
17; MSE: inf; cos: 0.9995
18; MSE: inf; cos: 0.9995
19; MSE: inf; cos: 1.0000
20; MSE: inf; cos: 1.0000
21; MSE: inf; cos: 1.0000
22; MSE: inf; cos: 1.0010
23; MSE: inf; cos: 1.0000
24; MSE: inf; cos: 1.0000
25; MSE: inf; cos: 1.0000
26; MSE: inf; cos: 0.9995
27; MSE: inf; cos: 1.0000
28; MSE: inf; cos: 0.9995
29; MSE: inf; cos: 1.0000
30; MSE: inf; cos: 0.9995
31; MSE: inf; cos: 0.9990
32; MSE: 0.3198; cos: 0.9634
