00; MSE: 0.0000; cos: 0.9995
01; MSE: 0.0000; cos: 0.9995
02; MSE: 0.0000; cos: 0.9990
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0010
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 0.9995
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0050; cos: 1.0000
12; MSE: 0.0043; cos: 0.9995
13; MSE: 0.0037; cos: 1.0000
14; MSE: 0.0031; cos: 1.0010
15; MSE: 0.0029; cos: 1.0000
16; MSE: 0.0026; cos: 1.0000
17; MSE: 0.0026; cos: 0.9995
18; MSE: 0.0024; cos: 0.9995
19; MSE: 0.0024; cos: 1.0000
20; MSE: 0.0020; cos: 0.9995
21; MSE: 0.0020; cos: 0.9995
22; MSE: 0.0021; cos: 1.0010
23; MSE: 0.0022; cos: 1.0010
24; MSE: 0.0021; cos: 1.0000
25; MSE: 0.0022; cos: 1.0000
26; MSE: 0.0024; cos: 0.9995
27; MSE: 0.0026; cos: 1.0000
28; MSE: 0.0029; cos: 1.0000
29; MSE: 0.0032; cos: 1.0000
30; MSE: 0.0037; cos: 1.0000
31; MSE: 0.0045; cos: 1.0000
32; MSE: 0.0055; cos: 1.0000
33; MSE: 0.0066; cos: 1.0000
34; MSE: 0.0472; cos: 0.9995
35; MSE: 0.0506; cos: 0.9526
36; MSE: 0.0282; cos: 0.9800
