00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 0.9995
02; MSE: 0.0000; cos: 0.9995
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0010
05; MSE: 0.0000; cos: 0.9995
06; MSE: 0.0000; cos: 0.9995
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 0.9995
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0010
16; MSE: 0.0000; cos: 0.9995
17; MSE: 8.6094; cos: 0.9995
18; MSE: 10.7891; cos: 1.0000
19; MSE: 13.7188; cos: 0.9990
20; MSE: 18.7656; cos: 0.9995
21; MSE: 23.8438; cos: 0.9995
22; MSE: 30.7500; cos: 0.9990
23; MSE: inf; cos: 0.9985
24; MSE: 0.2408; cos: 0.9468
