00; MSE: 0.0000; cos: 1.0010
01; MSE: 0.0000; cos: 0.9995
02; MSE: 0.0353; cos: 0.9990
03; MSE: 0.0352; cos: 0.9995
04; MSE: 0.0353; cos: 0.9995
05; MSE: 0.0352; cos: 0.9995
06; MSE: 0.0353; cos: 0.9990
07; MSE: 0.0353; cos: 0.9985
08; MSE: 0.0353; cos: 0.9990
09; MSE: 0.0353; cos: 0.9995
10; MSE: 0.0352; cos: 1.0000
11; MSE: 0.0352; cos: 0.9990
12; MSE: 0.0352; cos: 0.9985
13; MSE: 0.0352; cos: 0.9995
14; MSE: 0.0351; cos: 1.0000
15; MSE: 0.0352; cos: 1.0000
16; MSE: 0.0351; cos: 0.9985
17; MSE: 0.0351; cos: 1.0000
18; MSE: 0.0351; cos: 0.9990
19; MSE: 0.0352; cos: 0.9995
20; MSE: 0.0351; cos: 0.9995
21; MSE: 0.0351; cos: 0.9990
22; MSE: 0.0353; cos: 0.9985
23; MSE: 0.0353; cos: 0.9990
24; MSE: 0.0353; cos: 0.9990
25; MSE: 0.0354; cos: 0.9985
26; MSE: 0.0356; cos: 0.9985
27; MSE: 0.0359; cos: 0.9985
28; MSE: 0.0362; cos: 0.9995
29; MSE: 0.0382; cos: 0.9985
30; MSE: 0.0392; cos: 0.9990
31; MSE: 0.0405; cos: 0.9995
32; MSE: 0.0676; cos: 0.9985
33; MSE: 0.0704; cos: 0.9990
34; MSE: 3.5527; cos: 0.9985
35; MSE: 3.6387; cos: 0.8545
36; MSE: 0.1141; cos: 0.9170
