00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 2.5827; cos: 1.0000
20; MSE: 2.8118; cos: 1.0000
21; MSE: 2.7676; cos: 1.0000
22; MSE: 2.9902; cos: 1.0000
23; MSE: 2.8095; cos: 1.0000
24; MSE: 3.5080; cos: 1.0000
25; MSE: 3.5390; cos: 1.0000
26; MSE: 3.9101; cos: 1.0000
27; MSE: 4.6582; cos: 1.0000
28; MSE: 5.2943; cos: 1.0000
29; MSE: 5.9749; cos: 1.0000
30; MSE: 7.4930; cos: 1.0000
31; MSE: 10.1520; cos: 1.0000
32; MSE: 0.0326; cos: 0.9961
