00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0000; cos: 1.0000
22; MSE: 0.0000; cos: 1.0000
23; MSE: 0.0000; cos: 1.0000
24; MSE: 0.0000; cos: 1.0000
25; MSE: 0.0000; cos: 1.0000
26; MSE: 0.0000; cos: 1.0000
27; MSE: 0.5435; cos: 0.9998
28; MSE: 0.5862; cos: 0.9998
29; MSE: 0.6807; cos: 0.9998
30; MSE: 0.7652; cos: 0.9997
31; MSE: 1.9190; cos: 0.9576
32; MSE: 1.6064; cos: 0.9808
33; MSE: 1.8855; cos: 0.9857
34; MSE: 2.0061; cos: 0.9892
35; MSE: 2.3734; cos: 0.9898
36; MSE: 0.3017; cos: 0.9879
