00; MSE: 0.0000; cos: 1.0010
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 0.9990
03; MSE: 0.5386; cos: 0.9995
04; MSE: 0.6592; cos: 0.9990
05; MSE: 0.9658; cos: 0.9985
06; MSE: 1.1670; cos: 0.9985
07; MSE: 1.6992; cos: 0.9971
08; MSE: inf; cos: 0.9995
09; MSE: inf; cos: 1.0000
10; MSE: inf; cos: 1.0000
11; MSE: inf; cos: 1.0000
12; MSE: inf; cos: 1.0010
13; MSE: inf; cos: 0.9995
14; MSE: inf; cos: 1.0000
15; MSE: inf; cos: 1.0010
16; MSE: inf; cos: 0.9995
17; MSE: inf; cos: 1.0000
18; MSE: inf; cos: 0.9995
19; MSE: inf; cos: 1.0000
20; MSE: inf; cos: 1.0000
21; MSE: inf; cos: 0.9995
22; MSE: inf; cos: 0.9995
23; MSE: inf; cos: 0.9990
24; MSE: 0.2218; cos: 0.9429
